EDT;Nombre de tarea;Duración;Comienzo;Fin;Predecesoras;Nombres de recursos;Trabajo;Hito;Notas
1.5.12;Configuración de reglas de escalamiento;0.5d;20/03/26;20/03/26;1.5.11;Persona 2 (100%);4h;No;Cuándo pasar a agente humano
1.5.13;Sistema de logging y monitoreo;1d;20/03/26;20/03/26;1.5.11;Persona 1 (100%);8h;No;Registro de conversaciones y métricas
1.5.14;Pruebas iniciales del agente;1d;21/03/26;21/03/26;1.5.12;1.5.13;Ambos (100%);16h;No;20+ casos de prueba
1.5.15;HITO: Agente IA Funcional;0d;21/03/26;21/03/26;1.5.14;;0h;Sí;H5: IA respondiendo correctamente
1.6;FASE 6: INTEGRACIÓN CON ZOHO CRM;5d;24/03/26;28/03/26;1.5.15;Equipo;80h;No;Gestión de leads y seguimiento
1.6.1;Evaluación del API de Zoho CRM;1d;24/03/26;24/03/26;1.5.15;Persona 1 (100%);8h;No;Documentación y capacidades
1.6.2;Configuración de credenciales Zoho;0.5d;24/03/26;24/03/26;1.5.15;Persona 2 (100%);4h;No;OAuth API keys
1.6.3;Configuración de webhooks bidireccionales;1d;25/03/26;25/03/26;1.6.1;1.6.2;Persona 2 (100%);8h;No;Sincronización en tiempo real
1.6.4;Desarrollo de sincronización de leads;1.5d;25/03/26;26/03/26;1.6.1;Persona 1 (100%);12h;No;Creación automática de leads
1.6.5;Mapeo de campos entre sistemas;1d;26/03/26;26/03/26;1.6.3;1.6.4;Persona 2 (100%);8h;No;Nombre email teléfono programa etc.
1.6.6;Implementación de flujo de actualización;1d;27/03/26;27/03/26;1.6.5;Persona 1 (100%);8h;No;Estados: nuevo contactado interesado etc.
1.6.7;Pruebas de integración bidireccional;1d;28/03/26;28/03/26;1.6.6;Ambos (100%);16h;No;15+ casos de uso reales
1.6.8;HITO: Zoho CRM Integrado;0d;28/03/26;28/03/26;1.6.7;;0h;Sí;H6: CRM sincronizado
1.7;FASE 7: PRUEBAS Y CONTROL DE CALIDAD;5d;31/03/26;04/04/26;1.6.8;Equipo;80h;No;Validación completa del sistema
1.7.1;Diseño de casos de prueba;1d;31/03/26;31/03/26;1.6.8;Ambos (100%);16h;No;50+ casos de prueba documentados
1.7.2;Pruebas unitarias de componentes;1d;01/04/26;01/04/26;1.7.1;Persona 1 (100%);8h;No;Cada módulo individualmente
1.7.3;Pruebas de integración end-to-end;1.5d;01/04/26;02/04/26;1.7.1;Persona 2 (100%);12h;No;Flujo completo: WhatsApp → IA → CRM
1.7.4;Pruebas de carga y estrés;1d;02/04/26;02/04/26;1.7.2;Persona 1 (100%);8h;No;Simular 100+ conversaciones simultáneas
1.7.5;Pruebas de usuario (UAT);1d;03/04/26;03/04/26;1.7.3;Ambos (50%);8h;No;10-15 casos de uso con usuarios reales
1.7.6;Documentación de errores encontrados;0.5d;03/04/26;03/04/26;1.7.5;Persona 1 (100%);4h;No;Bug tracking
1.7.7;Corrección de errores críticos;1d;04/04/26;04/04/26;1.7.6;Ambos (100%);16h;No;Prioridad alta
1.7.8;Validación final del sistema;0.5d;04/04/26;04/04/26;1.7.7;Ambos (100%);8h;No;Sign-off de calidad
1.7.9;HITO: Sistema Validado;0d;04/04/26;04/04/26;1.7.8;;0h;Sí;H7: QA aprobado
1.8;FASE 8: CAPACITACIÓN Y DOCUMENTACIÓN;3d;07/04/26;08/04/26;1.7.9;Equipo;48h;No;Preparación del equipo
1.8.1;Creación de manual de usuario;1d;07/04/26;07/04/26;1.7.9;Persona 1 (100%);8h;No;Con capturas de pantalla
1.8.2;Documentación técnica de arquitectura;1d;07/04/26;07/04/26;1.7.9;Persona 2 (100%);8h;No;Diagramas y especificaciones
1.8.3;Guías de troubleshooting;0.5d;08/04/26;08/04/26;1.8.1;1.8.2;Persona 1 (100%);4h;No;Problemas comunes y soluciones
1.8.4;Preparación de materiales de capacitación;0.5d;08/04/26;08/04/26;1.8.1;Persona 2 (100%);4h;No;Presentaciones y videos
1.8.5;Sesión de capacitación - Equipo administrativo;0.5d;08/04/26;08/04/26;1.8.3;1.8.4;Ambos (100%);8h;No;Capacitación práctica
1.8.6;Sesión de capacitación - Equipo de ventas;0.5d;08/04/26;08/04/26;1.8.5;Ambos (100%);8h;No;Capacitación práctica
1.8.7;Sesión de Q&A y resolución de dudas;0.25d;08/04/26;08/04/26;1.8.6;Ambos (50%);4h;No;Preguntas del equipo
1.8.8;Entrega de materiales digitales;0.25d;08/04/26;08/04/26;1.8.7;Persona 1 (50%);2h;No;Drive/email con documentación
1.8.9;HITO: Equipo Capacitado;0d;08/04/26;08/04/26;1.8.8;;0h;Sí;H8: Personal entrenado
1.9;FASE 9: DESPLIEGUE Y PUESTA EN PRODUCCIÓN;2d;09/04/26;09/04/26;1.8.9;Equipo;32h;No;Lanzamiento oficial
1.9.1;Configuración final de entorno de producción;0.5d;09/04/26;09/04/26;1.8.9;Persona 2 (100%);4h;No;Servidores DNS SSL
1.9.2;Migración de datos y configuraciones;0.5d;09/04/26;09/04/26;1.9.1;Persona 1 (100%);4h;No;Desde ambiente de pruebas
1.9.3;Verificación de servicios en producción;0.25d;09/04/26;09/04/26;1.9.2;Ambos (100%);4h;No;Health checks de todos los servicios
1.9.4;Lanzamiento oficial del agente IA;0.25d;09/04/26;09/04/26;1.9.3;Ambos (100%);4h;No;Activación del número de WhatsApp
1.9.5;Monitoreo post-lanzamiento (48h);2d;09/04/26;09/04/26;1.9.4;Ambos (50%);16h;No;Vigilancia intensiva
1.9.6;Ajustes menores si son necesarios;0.5d;09/04/26;09/04/26;1.9.5;Persona 1 (100%);4h;No;Correcciones rápidas
1.9.7;HITO: GO-LIVE PRODUCCIÓN;0d;09/04/26;09/04/26;1.9.4;;0h;Sí;H9: SISTEMA EN VIVO
