WBS,Task Name,Duration,Start Date,Finish Date,Predecessors,Resource Names,Work (hours),Milestone,Notes
7.1,Diseño de casos de prueba,1d,31/03/2026,31/03/2026,H6,Ambos,16,No,50+ casos de prueba documentados
7.2,Pruebas unitarias de componentes,1d,01/04/2026,01/04/2026,7.1,Persona 1,8,No,Cada módulo individualmente
7.3,Pruebas de integración end-to-end,1.5d,01/04/2026,02/04/2026,7.1,Persona 2,12,No,Flujo completo: WhatsApp→IA→CRM
7.4,Pruebas de carga y estrés,1d,02/04/2026,02/04/2026,7.2;7.3,Persona 1,8,No,Simular 100+ conversaciones
7.5,Pruebas de usuario (UAT),1d,03/04/2026,03/04/2026,7.4,Ambos,8,No,10-15 casos con usuarios reales
7.6,Documentación de errores encontrados,0.5d,03/04/2026,03/04/2026,7.5,Persona 1,4,No,Bug tracking
7.7,Corrección de errores críticos,1d,04/04/2026,04/04/2026,7.6,Ambos,16,No,Prioridad alta
7.8,Validación final del sistema,0.5d,04/04/2026,04/04/2026,7.7,Ambos,8,No,Sign-off de calidad
H7,HITO: Sistema Validado,0d,04/04/2026,04/04/2026,7.8,,0,Yes,QA aprobado
8.0,FASE 8: CAPACITACIÓN Y DOCUMENTACIÓN,3d,07/04/2026,08/04/2026,H7,Equipo,24,No,Preparación del equipo
8.1,Creación de manual de usuario,1d,07/04/2026,07/04/2026,H7,Persona 1,8,No,Con capturas de pantalla
8.2,Documentación técnica de arquitectura,1d,07/04/2026,07/04/2026,H7,Persona 2,8,No,Diagramas y especificaciones
8.3,Guías de troubleshooting,0.5d,08/04/2026,08/04/2026,8.1;8.2,Persona 1,4,No,Problemas comunes y soluciones
8.4,Preparación de materiales de capacitación,0.5d,08/04/2026,08/04/2026,8.1;8.2,Persona 2,4,No,Presentaciones y videos
8.5,Sesión de capacitación - Equipo admin,0.5d,08/04/2026,08/04/2026,8.3;8.4,Ambos,8,No,Capacitación práctica
8.6,Sesión de capacitación - Equipo ventas,0.5d,08/04/2026,08/04/2026,8.5,Ambos,8,No,Capacitación práctica
8.7,Sesión de preguntas y resolución de dudas,0.25d,08/04/2026,08/04/2026,8.6,Ambos,4,No,Q&A con el equipo
8.8,Entrega de materiales digitales,0.25d,08/04/2026,08/04/2026,8.7,Persona 1,2,No,Drive/email con documentación
H8,HITO: Equipo Capacitado,0d,08/04/2026,08/04/2026,8.8,,0,Yes,Personal entrenado
9.0,FASE 9: DESPLIEGUE Y PRODUCCIÓN,2d,09/04/2026,09/04/2026,H8,Equipo,24,No,Lanzamiento oficial
9.1,Configuración final de entorno producción,0.5d,09/04/2026,09/04/2026,H8,Persona 2,4,No,Servidores DNS SSL
9.2,Migración de datos y configuraciones,0.5d,09/04/2026,09/04/2026,9.1,Persona 1,4,No,Desde ambiente de pruebas
9.3,Verificación de servicios en producción,0.25d,09/04/2026,09/04/2026,9.2,Ambos,4,No,Health checks de todos los servicios
9.4,Lanzamiento oficial del agente IA,0.25d,09/04/2026,09/04/2026,9.3,Ambos,4,No,Activación del número de WhatsApp
9.5,Monitoreo post-lanzamiento (48h),2d,09/04/2026,10/04/2026,9.4,Ambos,16,No,Vigilancia intensiva
9.6,Ajustes menores si son necesarios,0.5d,09/04/2026,09/04/2026,9.4,Persona 1,4,No,Correcciones rápidas
H9,HITO: GO-LIVE PRODUCCIÓN,0d,09/04/2026,09/04/2026,9.4,,0,Yes,SISTEMA EN VIVO
