Tarea,Fase,Inicio,Fin,Duración (días),Recursos,Estado,Hito,Prioridad,Notas
FASE 6: INTEGRACIÓN CON ZOHO CRM,Fase 6,2026-03-24,2026-03-28,5,Equipo,No iniciado,No,Alta,Gestión de leads y seguimiento
Evaluación del API de Zoho CRM,Fase 6,2026-03-24,2026-03-24,1,Persona 1 (100%),No iniciado,No,Media,Documentación y capacidades
Configuración de credenciales Zoho,Fase 6,2026-03-24,2026-03-24,0.5,Persona 2 (100%),No iniciado,No,Alta,OAuth API keys
Configuración de webhooks bidireccionales,Fase 6,2026-03-25,2026-03-25,1,Persona 2 (100%),No iniciado,No,Alta,Sincronización en tiempo real
Desarrollo de sincronización de leads,Fase 6,2026-03-25,2026-03-26,1.5,Persona 1 (100%),No iniciado,No,Alta,Creación automática de leads
Mapeo de campos entre sistemas,Fase 6,2026-03-26,2026-03-26,1,Persona 2 (100%),No iniciado,No,Media,Nombre email teléfono programa etc.
Implementación de flujo de actualización,Fase 6,2026-03-27,2026-03-27,1,Persona 1 (100%),No iniciado,No,Alta,Estados: nuevo contactado interesado etc.
Pruebas de integración bidireccional,Fase 6,2026-03-28,2026-03-28,1,Ambos (100%),No iniciado,No,Alta,15+ casos de uso reales
HITO: Zoho CRM Integrado,Fase 6,2026-03-28,2026-03-28,0,,,Sí,Alta,H6: CRM sincronizado
FASE 7: PRUEBAS Y CONTROL DE CALIDAD,Fase 7,2026-03-31,2026-04-04,5,Equipo,No iniciado,No,Alta,Validación completa del sistema
Diseño de casos de prueba,Fase 7,2026-03-31,2026-03-31,1,Ambos (100%),No iniciado,No,Alta,50+ casos de prueba documentados
Pruebas unitarias de componentes,Fase 7,2026-04-01,2026-04-01,1,Persona 1 (100%),No iniciado,No,Alta,Cada módulo individualmente
Pruebas de integración end-to-end,Fase 7,2026-04-01,2026-04-02,1.5,Persona 2 (100%),No iniciado,No,Alta,Flujo completo: WhatsApp a IA a CRM
Pruebas de carga y estrés,Fase 7,2026-04-02,2026-04-02,1,Persona 1 (100%),No iniciado,No,Alta,Simular 100+ conversaciones simultáneas
Pruebas de usuario (UAT),Fase 7,2026-04-03,2026-04-03,1,Ambos (50%),No iniciado,No,Alta,10-15 casos de uso con usuarios reales
Documentación de errores encontrados,Fase 7,2026-04-03,2026-04-03,0.5,Persona 1 (100%),No iniciado,No,Media,Bug tracking
Corrección de errores críticos,Fase 7,2026-04-04,2026-04-04,1,Ambos (100%),No iniciado,No,Alta,Prioridad alta
Validación final del sistema,Fase 7,2026-04-04,2026-04-04,0.5,Ambos (100%),No iniciado,No,Alta,Sign-off de calidad
HITO: Sistema Validado,Fase 7,2026-04-04,2026-04-04,0,,,Sí,Alta,H7: QA aprobado
FASE 8: CAPACITACIÓN Y DOCUMENTACIÓN,Fase 8,2026-04-07,2026-04-08,3,Equipo,No iniciado,No,Media,Preparación del equipo
Creación de manual de usuario,Fase 8,2026-04-07,2026-04-07,1,Persona 1 (100%),No iniciado,No,Media,Con capturas de pantalla
Documentación técnica de arquitectura,Fase 8,2026-04-07,2026-04-07,1,Persona 2 (100%),No iniciado,No,Media,Diagramas y especificaciones
Guías de troubleshooting,Fase 8,2026-04-08,2026-04-08,0.5,Persona 1 (100%),No iniciado,No,Baja,Problemas comunes y soluciones
Preparación de materiales de capacitación,Fase 8,2026-04-08,2026-04-08,0.5,Persona 2 (100%),No iniciado,No,Media,Presentaciones y videos
Sesión de capacitación - Equipo administrativo,Fase 8,2026-04-08,2026-04-08,0.5,Ambos (100%),No iniciado,No,Media,Capacitación práctica
Sesión de capacitación - Equipo de ventas,Fase 8,2026-04-08,2026-04-08,0.5,Ambos (100%),No iniciado,No,Media,Capacitación práctica
Sesión de preguntas y resolución de dudas,Fase 8,2026-04-08,2026-04-08,0.25,Ambos (50%),No iniciado,No,Baja,Preguntas del equipo
Entrega de materiales digitales,Fase 8,2026-04-08,2026-04-08,0.25,Persona 1 (50%),No iniciado,No,Baja,Drive/email con documentación
HITO: Equipo Capacitado,Fase 8,2026-04-08,2026-04-08,0,,,Sí,Alta,H8: Personal entrenado
FASE 9: DESPLIEGUE Y PUESTA EN PRODUCCIÓN,Fase 9,2026-04-09,2026-04-09,2,Equipo,No iniciado,No,Alta,Lanzamiento oficial
Configuración final de entorno de producción,Fase 9,2026-04-09,2026-04-09,0.5,Persona 2 (100%),No iniciado,No,Alta,Servidores DNS SSL
Migración de datos y configuraciones,Fase 9,2026-04-09,2026-04-09,0.5,Persona 1 (100%),No iniciado,No,Alta,Desde ambiente de pruebas
Verificación de servicios en producción,Fase 9,2026-04-09,2026-04-09,0.25,Ambos (100%),No iniciado,No,Alta,Health checks de todos los servicios
Lanzamiento oficial del agente IA,Fase 9,2026-04-09,2026-04-09,0.25,Ambos (100%),No iniciado,No,Alta,Activación del número de WhatsApp
Monitoreo post-lanzamiento (48h),Fase 9,2026-04-09,2026-04-09,2,Ambos (50%),No iniciado,No,Alta,Vigilancia intensiva
Ajustes menores si son necesarios,Fase 9,2026-04-09,2026-04-09,0.5,Persona 1 (100%),No iniciado,No,Media,Correcciones rápidas
HITO: GO-LIVE PRODUCCIÓN,Fase 9,2026-04-09,2026-04-09,0,,,Sí,Alta,H9: SISTEMA EN VIVO
